type, ID, HMMR
digestive_system, WP_004296460.1, CE1
digestive_system, WP_004299923.1, GH29-CBM32
digestive_system, WP_004302041.1, GT2
digestive_system, WP_052587939.1, GH28
digestive_system, WP_004298303.1, GT9
digestive_system, WP_004302187.1, PL12
digestive_system, WP_004298408.1, GH130
digestive_system, WP_004298947.1, GH92
digestive_system, WP_004295978.1, CBM50
digestive_system, WP_004296987.1, CE1
digestive_system, WP_052587855.1, GT26
digestive_system, WP_004301570.1, PL11
digestive_system, WP_052587922.1, GH2
digestive_system, WP_004298293.1, GT2-GT7
digestive_system, WP_004296513.1, GH3
digestive_system, WP_004297577.1, CE6
digestive_system, WP_004298437.1, CBM30-GH9
digestive_system, WP_004298447.1, GH43
digestive_system, WP_004297499.1, GT2
digestive_system, WP_004299722.1, GH97
digestive_system, WP_004298318.1, PL8
digestive_system, WP_004296053.1, GH2-CBM57-CBM35
digestive_system, WP_004297902.1, GH20-CBM32
digestive_system, WP_052587916.1, GH2
digestive_system, WP_004320967.1, PL1
digestive_system, WP_052587982.1, GH43
digestive_system, WP_004296376.1, GH123
digestive_system, WP_052587924.1, CBM67-GH78
digestive_system, WP_004298620.1, GH2-CBM67
digestive_system, WP_004296229.1, GH78
digestive_system, WP_004299138.1, CE1
digestive_system, WP_052587900.1, CE6-GH95
digestive_system, WP_004296511.1, GH105
digestive_system, WP_004298705.1, CBM67-GH78
digestive_system, WP_052588052.1, GH3
digestive_system, WP_004298104.1, GH20
digestive_system, WP_004298291.1, GT2
digestive_system, WP_004298056.1, GH76
digestive_system, WP_004300462.1, GH18
digestive_system, WP_004301552.1, GH28
digestive_system, WP_004296950.1, GT51
digestive_system, WP_052587961.1, GH43
digestive_system, WP_004300357.1, GT2
digestive_system, WP_004298963.1, GH20
digestive_system, WP_004322234.1, GH115
digestive_system, WP_004298569.1, GH3
digestive_system, WP_004297606.1, PL9
digestive_system, WP_004300378.1, GT2
digestive_system, WP_004295727.1, GH97
digestive_system, WP_004297494.1, GT4
digestive_system, WP_004300492.1, GH95
digestive_system, WP_004302269.1, GH33
digestive_system, WP_052587835.1, GH115
digestive_system, WP_004299223.1, CBM40
digestive_system, WP_052588014.1, CE1
digestive_system, WP_004298463.1, GH43
digestive_system, WP_004299676.1, GH95
digestive_system, WP_004300838.1, GH43
digestive_system, WP_044918880.1, GH2
digestive_system, WP_052587926.1, GH30
digestive_system, WP_004301612.1, GH28
digestive_system, WP_004302188.1, GH88
digestive_system, WP_004301765.1, GH109
digestive_system, WP_004296211.1, GT51
digestive_system, WP_004296050.1, GH2
digestive_system, WP_004297812.1, GH2
digestive_system, WP_004297813.1, GH2
digestive_system, WP_004296073.1, GH127
digestive_system, WP_004297410.1, GH2
digestive_system, WP_004301559.1, CE2
digestive_system, WP_004300350.1, CE10-CE3
digestive_system, WP_004299652.1, GH3
digestive_system, WP_004295844.1, CBM48-GH13
digestive_system, WP_004297450.1, GH51
digestive_system, WP_004301863.1, GH89
digestive_system, WP_004299813.1, PL1
digestive_system, WP_044919279.1, GH36
digestive_system, WP_004297695.1, GH109
digestive_system, WP_004298070.1, CBM44
digestive_system, WP_004297743.1, GH3
digestive_system, WP_004299976.1, PL22-PL22-CE1
digestive_system, WP_004301101.1, GH73
digestive_system, WP_004297286.1, CE4
digestive_system, WP_004301555.1, GH43-GH43-CBM32
digestive_system, WP_004299912.1, GH92
digestive_system, WP_004301524.1, PL1
digestive_system, WP_004296031.1, GH95
digestive_system, WP_004298584.1, GH3
digestive_system, WP_004301505.1, CE8
digestive_system, WP_004296442.1, GH89
digestive_system, WP_004302233.1, GT11
digestive_system, WP_004301509.1, PL1
digestive_system, WP_004300489.1, CBM67-GH78-GH33
digestive_system, WP_004297574.1, CE3
digestive_system, WP_052587966.1, GH98-CBM35
digestive_system, WP_009000517.1, GH109
digestive_system, WP_004299590.1, GH109
digestive_system, WP_004298138.1, GT2
digestive_system, WP_004296195.1, GH3
digestive_system, WP_004301558.1, GH28
digestive_system, WP_004299224.1, GH78
digestive_system, WP_004298766.1, CE6
digestive_system, WP_004299624.1, CE15
digestive_system, WP_004296591.1, GT23
digestive_system, WP_004301539.1, AA6
digestive_system, WP_004308033.1, GT2
digestive_system, WP_004301785.1, GH57
digestive_system, WP_004296412.1, GH95
digestive_system, WP_004299402.1, GH92
digestive_system, WP_004301553.1, CE12
digestive_system, WP_004295820.1, GT51
digestive_system, WP_004298772.1, PL17
digestive_system, WP_004297724.1, GH97
digestive_system, WP_004297998.1, CE10
digestive_system, WP_044918361.1, CE12
digestive_system, WP_004297358.1, GT2
digestive_system, WP_052587977.1, GH43-CBM6
digestive_system, WP_004298144.1, PL8
digestive_system, WP_052587892.1, GH29-CBM32-CBM32
digestive_system, WP_004299539.1, GH125
digestive_system, WP_004301478.1, GH31
digestive_system, WP_004297498.1, GT4
digestive_system, WP_004323730.1, GH3
digestive_system, WP_052587972.1, GH2
digestive_system, WP_004299916.1, GH76
digestive_system, WP_004296677.1, GH16-GH3
digestive_system, WP_004320954.1, GH2
digestive_system, WP_004297409.1, PL5
digestive_system, WP_004296959.1, CE1
digestive_system, WP_004296594.1, GT4
digestive_system, WP_004301578.1, PL11
digestive_system, WP_052587927.1, GH95
digestive_system, WP_004297315.1, GH31
digestive_system, WP_004296470.1, GH16
digestive_system, WP_004299222.1, GH106
digestive_system, WP_004323724.1, GH42
digestive_system, WP_004298055.1, GH125
digestive_system, WP_004298557.1, GH16
digestive_system, WP_004300483.1, GH121
digestive_system, WP_004302230.1, GT4
digestive_system, WP_052587817.1, GH13
digestive_system, WP_004301397.1, GT19
digestive_system, WP_004300035.1, GT4
digestive_system, WP_004295806.1, GT4
digestive_system, WP_052587978.1, GH43
digestive_system, WP_052587968.1, GH2
digestive_system, WP_004296277.1, GH27-CBM35
digestive_system, WP_052587979.1, GT2
digestive_system, WP_004300491.1, GH105
digestive_system, WP_004297392.1, AA6
digestive_system, WP_004296701.1, CE10
digestive_system, WP_052587971.1, GH76
digestive_system, WP_004296251.1, GH16
digestive_system, WP_004295552.1, GT2
digestive_system, WP_004300471.1, CBM32
digestive_system, WP_004322484.1, GT8
digestive_system, WP_004296595.1, GT4
digestive_system, WP_004299669.1, GH10
digestive_system, WP_004299603.1, CE9
digestive_system, WP_004298248.1, GH36
digestive_system, WP_004299721.1, CBM22-GH51
digestive_system, WP_004302231.1, GT4
digestive_system, WP_004300484.1, CBM67-GH78
digestive_system, WP_004295811.1, GT4
digestive_system, WP_004296596.1, GT2
digestive_system, WP_004297004.1, GH97
digestive_system, WP_004296565.1, GH130
digestive_system, WP_004299533.1, GH76
digestive_system, WP_004305959.1, GH23
digestive_system, WP_004298515.1, CBM32-GH106
digestive_system, WP_052587829.1, GH29-CBM32-CBM32
digestive_system, WP_004300482.1, GH43
digestive_system, WP_004298582.1, GH97
digestive_system, WP_004300839.1, GH10
digestive_system, WP_004301091.1, GH29
digestive_system, WP_004323727.1, GH43
digestive_system, WP_004300359.1, GT2
digestive_system, WP_004322922.1, GH115
digestive_system, WP_052588049.1, GH53
digestive_system, WP_004297241.1, GH89
digestive_system, WP_044918355.1, GH43-CBM6
digestive_system, WP_052587801.1, GH2
digestive_system, WP_004297506.1, GT26
digestive_system, WP_004302207.1, GH5
digestive_system, WP_004307349.1, GT28
digestive_system, WP_052588019.1, PL12
digestive_system, WP_004320945.1, CE6
digestive_system, WP_004302291.1, CBM44-CBM44
digestive_system, WP_004296967.1, GH43
digestive_system, WP_004300837.1, GH67
digestive_system, WP_004322482.1, GT83
digestive_system, WP_004299674.1, GH43-CBM6
digestive_system, WP_004296461.1, CE1
digestive_system, WP_052587970.1, GH18
digestive_system, WP_004298301.1, GT9
digestive_system, WP_032853496.1, GT2
digestive_system, WP_004300029.1, GT4
digestive_system, WP_004325724.1, CBM50-CBM50-CBM50
digestive_system, WP_004296676.1, GH16
digestive_system, WP_032855814.1, GH28
digestive_system, WP_004297716.1, GH2
digestive_system, WP_004298404.1, GH5
digestive_system, WP_004298831.1, GH130
digestive_system, WP_004296226.1, CBM32
digestive_system, WP_004301571.1, CBM66
digestive_system, WP_004323281.1, CE7
digestive_system, WP_004296564.1, GH2
digestive_system, WP_004296299.1, GH35-CBM35
digestive_system, WP_004299998.1, CE3
digestive_system, WP_004299670.1, GH30
digestive_system, WP_004301512.1, CE8
digestive_system, WP_004296989.1, GH28
digestive_system, WP_004299901.1, GH2-CBM57
digestive_system, WP_059365524.1, CBM67
digestive_system, WP_004300975.1, GH88
digestive_system, WP_004298445.1, GH5
digestive_system, WP_004301686.1, GH28
digestive_system, WP_004300598.1, CBM44
digestive_system, WP_004300811.1, GH20-CBM32
digestive_system, WP_052587884.1, CE6
digestive_system, WP_004301376.1, GH92
digestive_system, WP_004323486.1, GH50
digestive_system, WP_052587858.1, GH18
digestive_system, WP_004300468.1, GH18
digestive_system, WP_004297648.1, GT3
digestive_system, WP_004323487.1, GH50
digestive_system, WP_004297462.1, CBM22-GH51
digestive_system, WP_052588047.1, PL15
digestive_system, WP_004299837.1, GH28
digestive_system, WP_052587822.1, CBM44
digestive_system, WP_004297908.1, GH33
digestive_system, WP_004301531.1, GH3
digestive_system, WP_004299658.1, GH31
digestive_system, WP_004296495.1, GH26
digestive_system, WP_052587908.1, GH115
digestive_system, WP_004299607.1, GH3
digestive_system, WP_004324754.1, GH76
digestive_system, WP_052587928.1, GH2
digestive_system, WP_004299739.1, GT2
digestive_system, WP_004296306.1, CE3
digestive_system, WP_004322485.1, GT11
digestive_system, WP_004300365.1, GT94
digestive_system, WP_004300187.1, GH18
digestive_system, WP_052588051.1, GH18
digestive_system, WP_004299757.1, GH97
digestive_system, WP_052587882.1, GT8
digestive_system, WP_052587914.1, GH31
digestive_system, WP_004301153.1, CBM50
digestive_system, WP_004295808.1, GT5
digestive_system, WP_004301550.1, GH28
digestive_system, WP_004298564.1, CE6
digestive_system, WP_004300470.1, CBM32
digestive_system, WP_004300711.1, GH73-CBM50-CBM50
digestive_system, WP_004300600.1, GH33
digestive_system, WP_004296574.1, CE3
digestive_system, WP_004298031.1, PL22-CE1
digestive_system, WP_004301784.1, GT5-GT4
digestive_system, WP_004301577.1, GH105
digestive_system, WP_004296986.1, PL12
digestive_system, WP_044919533.1, GT20
digestive_system, WP_004298285.1, GT6
digestive_system, WP_004299815.1, CE8
digestive_system, WP_004322919.1, CBM69
digestive_system, WP_004299597.1, GH109
digestive_system, WP_004297804.1, GH43
digestive_system, WP_004297728.1, GH43
digestive_system, WP_004296577.1, GH115-GH115
digestive_system, WP_004300597.1, GH3
digestive_system, WP_004301292.1, GH73
digestive_system, WP_004298685.1, GH92
digestive_system, WP_004298273.1, GT2
digestive_system, WP_004301683.1, GH43
digestive_system, WP_004299758.1, GH13
digestive_system, WP_004299537.1, CBM67
digestive_system, WP_004298302.1, GT94-GT4
digestive_system, WP_004323488.1, GH2-CBM57
digestive_system, WP_004301783.1, GH133
digestive_system, WP_032852746.1, CE7
digestive_system, WP_004301366.1, GH18
digestive_system, WP_004297399.1, GH109
digestive_system, WP_004300604.1, GH33
digestive_system, WP_004296575.1, GH105
digestive_system, WP_004301367.1, CBM66
digestive_system, WP_004298274.1, CE4
digestive_system, WP_004298554.1, GH3
digestive_system, WP_004301971.1, GH23
digestive_system, WP_004299672.1, GH115
digestive_system, WP_004298534.1, GH105
digestive_system, WP_004302240.1, GT4
digestive_system, WP_044919285.1, GH3
digestive_system, WP_004298002.1, CBM32
digestive_system, WP_004298588.1, CE10
digestive_system, WP_004300377.1, GT4
digestive_system, WP_004302051.1, GH97
digestive_system, WP_004298527.1, GH88
digestive_system, WP_004296030.1, GH2
digestive_system, WP_009039778.1, GH43
digestive_system, WP_004302236.1, GT4
digestive_system, WP_004304379.1, CE6-CE6
digestive_system, WP_004301507.1, CE12-CE8
digestive_system, WP_004296033.1, CBM32-GH106-GH106
digestive_system, WP_004298561.1, GH3
digestive_system, WP_004296508.1, CE7
digestive_system, WP_004323272.1, dockerin
digestive_system, WP_004296622.1, GT11
digestive_system, WP_004299680.1, GH30
digestive_system, WP_004300847.1, CBM48-GH13
digestive_system, WP_004297732.1, GH67
digestive_system, WP_004301388.1, GH23-CBM50
digestive_system, WP_004301556.1, GH42
digestive_system, WP_004296372.1, GT30
digestive_system, WP_004296465.1, GH18
digestive_system, WP_004297411.1, GH88
digestive_system, WP_004299344.1, CBM20-CBM20-GH77
digestive_system, WP_004297608.1, GH43
digestive_system, WP_004322157.1, GH31
digestive_system, WP_004298288.1, GT2
digestive_system, WP_004299536.1, GH76
digestive_system, WP_004300993.1, GH91
digestive_system, WP_004297814.1, GH97
digestive_system, NP_813091.1, CE6
digestive_system, NP_813206.1, CBM32
digestive_system, NP_813087.1, GH105
digestive_system, NP_810682.1, GH92
digestive_system, NP_809252.1, GH31
digestive_system, NP_811871.1, GH43
digestive_system, NP_811875.1, GH105-PL12
digestive_system, NP_811291.1, GH28
digestive_system, NP_809360.1, CE6
digestive_system, NP_813117.1, CE11
digestive_system, NP_809371.1, GH2
digestive_system, NP_812501.1, GH89
digestive_system, NP_812565.1, GH35-CBM32
digestive_system, NP_811104.1, CBM13-GH2
digestive_system, NP_810694.1, GH99-GH43
digestive_system, NP_810308.1, AA6
digestive_system, NP_809921.1, CE10
digestive_system, NP_812260.1, GH88
digestive_system, NP_811849.1, GT4
digestive_system, NP_809961.1, GH18
digestive_system, NP_809962.1, CBM40
digestive_system, NP_809523.1, GT4
digestive_system, NP_809924.1, GH105
digestive_system, NP_811938.1, GH30
digestive_system, NP_809280.1, GH43
digestive_system, NP_809392.1, GT2
digestive_system, NP_809050.1, GH127
digestive_system, NP_812506.1, GH129
digestive_system, NP_809899.1, CBM32-GH106-GH106
digestive_system, NP_813006.1, GH43
digestive_system, NP_810080.1, GT2
digestive_system, NP_812533.1, GT2
digestive_system, NP_813057.1, GH28
digestive_system, NP_809281.1, CBM22-GH51
digestive_system, NP_813620.1, GH18
digestive_system, NP_812036.1, CE6
digestive_system, NP_811818.1, GH99
digestive_system, NP_811545.1, GH125
digestive_system, NP_812284.1, GT2
digestive_system, NP_813094.1, PL9
digestive_system, NP_813155.1, CBM32
digestive_system, NP_811535.1, GH67
digestive_system, NP_810000.1, CE10
digestive_system, NP_813085.1, GH105
digestive_system, NP_812360.1, GT28
digestive_system, NP_809273.1, GH43
digestive_system, NP_811994.1, GH32
digestive_system, NP_813004.1, GH92
digestive_system, NP_812236.1, PL8
digestive_system, NP_813625.1, GH3
digestive_system, NP_812915.1, GT19
digestive_system, NP_810625.1, GT4
digestive_system, NP_809304.1, GT4
digestive_system, NP_811438.1, CE7
digestive_system, NP_809925.1, GH5
digestive_system, NP_809934.1, GH43
digestive_system, NP_813034.1, GH28
digestive_system, NP_812379.1, GH43
digestive_system, NP_810538.1, GH29-CBM32-CBM32
digestive_system, NP_811010.1, GH127
digestive_system, NP_812283.1, GT2
digestive_system, NP_811592.1, GH2-CBM32
digestive_system, NP_810206.1, GT35
digestive_system, NP_810796.1, GH76
digestive_system, NP_812614.1, GH97
digestive_system, NP_809596.1, GH97
digestive_system, NP_809500.1, PL22-PL22-CE1
digestive_system, NP_813579.1, GH53
digestive_system, NP_812204.1, GH2
digestive_system, NP_808960.1, GT2
digestive_system, NP_813020.1, CE8
digestive_system, NP_808966.1, GT4
digestive_system, NP_812282.1, GT2
digestive_system, NP_812572.1, GH97
digestive_system, NP_813216.1, GH57
digestive_system, NP_812685.1, GH38-CBM32
digestive_system, NP_809482.1, CE3
digestive_system, NP_811072.1, GH109
digestive_system, NP_809171.1, CE14
digestive_system, NP_812072.1, GH110
digestive_system, NP_811858.1, GT4
digestive_system, NP_812519.1, CE15
digestive_system, NP_811372.1, GH20-CBM32
digestive_system, NP_811112.1, GH92
digestive_system, NP_812615.1, GH13
digestive_system, NP_813068.1, CBM35
digestive_system, NP_813248.1, GH20-CBM32
digestive_system, NP_812278.1, GT2
digestive_system, NP_809369.1, GH20
digestive_system, NP_812277.1, GT2
digestive_system, NP_812594.1, GH16-GH43
digestive_system, NP_811848.1, GT4
digestive_system, NP_813026.1, PL1
digestive_system, NP_811927.1, CBM32
digestive_system, NP_812509.1, GH20
digestive_system, NP_809358.1, CE2
digestive_system, NP_811814.1, CBM32
digestive_system, NP_813002.1, CE6
digestive_system, NP_809221.1, GH25
digestive_system, NP_813586.1, PL13
digestive_system, NP_812425.1, GH2
digestive_system, NP_811542.1, GH92
digestive_system, NP_810755.1, GH29
digestive_system, NP_812070.1, CBM32
digestive_system, NP_812454.1, CBM62-CBM62
digestive_system, NP_812091.1, GH2
digestive_system, NP_809370.1, CE3-CE6
digestive_system, NP_812413.1, GH76
digestive_system, NP_809282.1, GH43
digestive_system, NP_812436.1, GH76
digestive_system, NP_812995.1, GH43
digestive_system, NP_812590.1, CBM51
digestive_system, NP_813047.1, GH29-CBM32-CBM32
digestive_system, NP_813601.1, GH13
digestive_system, NP_812567.1, GH43-GH32-GH43
digestive_system, NP_811807.1, GH43
digestive_system, NP_813081.1, PL9
digestive_system, NP_813060.1, GH28
digestive_system, NP_810096.1, GT2
digestive_system, NP_812274.1, GT9
digestive_system, NP_812586.1, GH43
digestive_system, NP_812873.1, GH92
digestive_system, NP_812837.1, CBM50
digestive_system, NP_812426.1, GH115-GH115
digestive_system, NP_812389.1, CBM67
digestive_system, NP_813305.1, GH20
digestive_system, NP_808964.1, GT2
digestive_system, NP_812984.1, GH92
digestive_system, NP_812026.1, GH2
digestive_system, NP_809512.1, GH4
digestive_system, NP_813027.1, PL1
digestive_system, NP_813595.1, GH2
digestive_system, NP_813622.1, CBM32
digestive_system, NP_813270.1, GH89
digestive_system, NP_812988.1, CE1
digestive_system, NP_810690.1, CBM32-GH95
digestive_system, NP_808957.1, GT2
digestive_system, NP_809386.1, GT2
digestive_system, NP_811794.1, GT2
digestive_system, NP_810672.1, GH32
digestive_system, NP_811544.1, GH76
digestive_system, NP_813092.1, GH2-CBM32
digestive_system, NP_809059.1, GH88
digestive_system, NP_812299.1, CE4
digestive_system, NP_811436.1, CBM66-CBM67-GH78
digestive_system, NP_809391.1, GT4
digestive_system, NP_809963.1, CBM32
digestive_system, NP_812479.1, GH3
digestive_system, NP_813084.1, CE12-CE12
digestive_system, NP_811534.1, CE2
digestive_system, NP_812585.1, GH127
digestive_system, NP_812275.1, GT90
digestive_system, NP_811345.1, GH2-CBM32
digestive_system, NP_811785.1, GT8
digestive_system, NP_811105.1, GH29-CBM32
digestive_system, NP_810673.1, GH32-CBM66
digestive_system, NP_813065.1, CE4
digestive_system, NP_809656.1, GT51
digestive_system, NP_809670.1, GH2
digestive_system, NP_812703.1, GH76
digestive_system, NP_812381.1, CBM66
digestive_system, NP_813062.1, GH2
digestive_system, NP_812570.1, GH31
digestive_system, NP_810692.1, CE6
digestive_system, NP_810561.1, GT2
digestive_system, NP_813563.1, PL15
digestive_system, NP_811107.1, CBM32
digestive_system, NP_809179.1, CBM61
digestive_system, NP_812874.1, GH92
digestive_system, NP_812609.1, GH13
digestive_system, NP_811786.1, GT2
digestive_system, NP_809778.1, CBM32
digestive_system, NP_809824.1, CBM50
digestive_system, NP_810786.1, GH43
digestive_system, NP_812605.1, GT2
digestive_system, NP_813063.1, GH43-GH42
digestive_system, NP_813086.1, PL11
